lift_from_node	lift_from_prop	lift_from_cdeID	lift_from_model	lift_from_version	lift_to_node	lift_to_prop	lift_to_cdeID	lift_to_model	lift_to_version	mapping_type
diagnosis	tissue_or_organ_of_origin	14883058	CDS	v8.0.2	diagnosis	tissue_or_organ_of_origin	14883058	CDS	v8.0.3	CDE
diagnosis	site_of_resection_or_biopsy	14883054	CDS	v8.0.2	diagnosis	site_of_resection_or_biopsy	14883054	CDS	v8.0.3	CDE
diagnosis	days_to_last_known_disease_status	12447170	CDS	v8.0.2	diagnosis	days_to_last_known_disease_status	12447170	CDS	v8.0.3	CDE
treatment	treatment_type	14737565	CDS	v8.0.2	treatment	treatment_type	14737565	CDS	v8.0.3	CDE
treatment	days_to_treatment	12305542	CDS	v8.0.2	treatment	days_to_treatment	12305542	CDS	v8.0.3	CDE
treatment	therapeutic_agents	14913015	CDS	v8.0.2	treatment	therapeutic_agents	14913015	CDS	v8.0.3	CDE
treatment	response	13383448	CDS	v8.0.2	treatment	response	13383448	CDS	v8.0.3	CDE
sample	sample_id	6921892	CDS	v8.0.2	sample	sample_id	6921892	CDS	v8.0.3	CDE
sample	sample_type	11253427	CDS	v8.0.2	sample	sample_type	11253427	CDS	v8.0.3	CDE
sample	sample_description	2003907	CDS	v8.0.2	sample	sample_description	2003907	CDS	v8.0.3	CDE
sample	sample_type_category	12445832	CDS	v8.0.2	sample	sample_type_category	12445832	CDS	v8.0.3	CDE
sample	sample_tumor_status	14688604	CDS	v8.0.2	sample	sample_tumor_status	14688604	CDS	v8.0.3	CDE
sample	sample_anatomic_site	12083894	CDS	v8.0.2	sample	sample_anatomic_site	12083894	CDS	v8.0.3	CDE
sample	sample_age_at_collection	14473376	CDS	v8.0.2	sample	sample_age_at_collection	14473376	CDS	v8.0.3	CDE
sample	derived_from_specimen	5581201	CDS	v8.0.2	sample	derived_from_specimen	5581201	CDS	v8.0.3	CDE
sample	biosample_accession	2230047	CDS	v8.0.2	sample	biosample_accession	2230047	CDS	v8.0.3	CDE
file	file_name	11284037	CDS	v8.0.2	file	file_name	11284037	CDS	v8.0.3	CDE
file	file_type	11416926	CDS	v8.0.2	file	file_type	11416926	CDS	v8.0.3	CDE
file	file_description	11280338	CDS	v8.0.2	file	file_description	11280338	CDS	v8.0.3	CDE
file	file_size	11479876	CDS	v8.0.2	file	file_size	11479876	CDS	v8.0.3	CDE
file	md5sum	11556150	CDS	v8.0.2	file	md5sum	11556150	CDS	v8.0.3	CDE
file	file_url_in_cds	11556141	CDS	v8.0.2	f	f	11556141	CDS	v8.0.3	CDE
file	file_url_in_cds	11556141	CDS	v8.0.2	M	c	11556141	CDS	v8.0.3	CDE
MultiplexMicroscopy	channel_metadata_file_url_in_cds	11556141	CDS	v8.0.2	f	f	11556141	CDS	v8.0.3	CDE
MultiplexMicroscopy	channel_metadata_file_url_in_cds	11556141	CDS	v8.0.2	M	c	11556141	CDS	v8.0.3	CDE
file	experimental_strategy_and_data_subtypes	12373576	CDS	v8.0.2	file	experimental_strategy_and_data_subtypes	12373576	CDS	v8.0.3	CDE
file	file_mapping_level	11595478	CDS	v8.0.2	file	file_mapping_level	11595478	CDS	v8.0.3	CDE
genomic_info	library_id	11555660	CDS	v8.0.2	genomic_info	library_id	11555660	CDS	v8.0.3	CDE
genomic_info	bases	12373573	CDS	v8.0.2	genomic_info	bases	12373573	CDS	v8.0.3	CDE
genomic_info	number_of_reads	11529035	CDS	v8.0.2	genomic_info	number_of_reads	11529035	CDS	v8.0.3	CDE
genomic_info	avg_read_length	12426615	CDS	v8.0.2	genomic_info	avg_read_length	12426615	CDS	v8.0.3	CDE
genomic_info	coverage	11556322	CDS	v8.0.2	genomic_info	coverage	11556322	CDS	v8.0.3	CDE
genomic_info	reference_genome_assembly	11529031	CDS	v8.0.2	genomic_info	reference_genome_assembly	11529031	CDS	v8.0.3	CDE
genomic_info	custom_assembly_fasta_file_for_alignment	11636299	CDS	v8.0.2	genomic_info	custom_assembly_fasta_file_for_alignment	11636299	CDS	v8.0.3	CDE
genomic_info	design_description	11529028	CDS	v8.0.2	g	d	11529028	CDS	v8.0.3	CDE
genomic_info	design_description	11529028	CDS	v8.0.2	g	i	11529028	CDS	v8.0.3	CDE
genomic_info	instrument_model	11529028	CDS	v8.0.2	g	d	11529028	CDS	v8.0.3	CDE
genomic_info	instrument_model	11529028	CDS	v8.0.2	g	i	11529028	CDS	v8.0.3	CDE
genomic_info	library_strategy	6273393	CDS	v8.0.2	genomic_info	library_strategy	6273393	CDS	v8.0.3	CDE
genomic_info	library_layout	11527735	CDS	v8.0.2	genomic_info	library_layout	11527735	CDS	v8.0.3	CDE
genomic_info	library_selection	6347743	CDS	v8.0.2	genomic_info	library_selection	6347743	CDS	v8.0.3	CDE
genomic_info	platform	6347771	CDS	v8.0.2	genomic_info	platform	6347771	CDS	v8.0.3	CDE
genomic_info	sequence_alignment_software	11529072	CDS	v8.0.2	genomic_info	sequence_alignment_software	11529072	CDS	v8.0.3	CDE
genomic_info	library_source_material	15235975	CDS	v8.0.2	genomic_info	library_source_material	15235975	CDS	v8.0.3	CDE
genomic_info	library_source_molecule	15235981	CDS	v8.0.2	genomic_info	library_source_molecule	15235981	CDS	v8.0.3	CDE
image	de_identification_method_type	14607284	CDS	v8.0.2	image	de_identification_method_type	14607284	CDS	v8.0.3	CDE
image	de_identification_method_description	14612655	CDS	v8.0.2	image	de_identification_method_description	14612655	CDS	v8.0.3	CDE
image	de_identification_software	14612658	CDS	v8.0.2	image	de_identification_software	14612658	CDS	v8.0.3	CDE
image	license	14902606	CDS	v8.0.2	image	license	14902606	CDS	v8.0.3	CDE
image	citation_or_DOI	7787673	CDS	v8.0.2	i	c	7787673	CDS	v8.0.3	CDE
image	citation_or_DOI	7787673	CDS	v8.0.2	i	i	7787673	CDS	v8.0.3	CDE
image	imaging_protocol	7787673	CDS	v8.0.2	i	c	7787673	CDS	v8.0.3	CDE
image	imaging_protocol	7787673	CDS	v8.0.2	i	i	7787673	CDS	v8.0.3	CDE
image	species	10543100	CDS	v8.0.2	image	species	10543100	CDS	v8.0.3	CDE
image	image_modality	12137353	CDS	v8.0.2	i	i	12137353	CDS	v8.0.3	CDE
image	image_modality	12137353	CDS	v8.0.2	N	p	12137353	CDS	v8.0.3	CDE
NonDICOMradiologyAllModalities	performed_imaging_study_nonAcquisitionModalitiesInStudyCode	12137353	CDS	v8.0.2	i	i	12137353	CDS	v8.0.3	CDE
NonDICOMradiologyAllModalities	performed_imaging_study_nonAcquisitionModalitiesInStudyCode	12137353	CDS	v8.0.2	N	p	12137353	CDS	v8.0.3	CDE
image	imaging_equipment_manufacturer	2866141	CDS	v8.0.2	i	i	2866141	CDS	v8.0.3	CDE
image	imaging_equipment_manufacturer	2866141	CDS	v8.0.2	p	i	2866141	CDS	v8.0.3	CDE
proteomic	instrument_make	2866141	CDS	v8.0.2	i	i	2866141	CDS	v8.0.3	CDE
proteomic	instrument_make	2866141	CDS	v8.0.2	p	i	2866141	CDS	v8.0.3	CDE
image	imaging_equipment_model	2413274	CDS	v8.0.2	i	i	2413274	CDS	v8.0.3	CDE
image	imaging_equipment_model	2413274	CDS	v8.0.2	p	p	2413274	CDS	v8.0.3	CDE
image	imaging_equipment_model	2413274	CDS	v8.0.2	p	m	2413274	CDS	v8.0.3	CDE
proteomic	proteomic_instrument_model	2413274	CDS	v8.0.2	i	i	2413274	CDS	v8.0.3	CDE
proteomic	proteomic_instrument_model	2413274	CDS	v8.0.2	p	p	2413274	CDS	v8.0.3	CDE
proteomic	proteomic_instrument_model	2413274	CDS	v8.0.2	p	m	2413274	CDS	v8.0.3	CDE
proteomic	manufacturer_model_name	2413274	CDS	v8.0.2	i	i	2413274	CDS	v8.0.3	CDE
proteomic	manufacturer_model_name	2413274	CDS	v8.0.2	p	p	2413274	CDS	v8.0.3	CDE
proteomic	manufacturer_model_name	2413274	CDS	v8.0.2	p	m	2413274	CDS	v8.0.3	CDE
image	imaging_software	2413278	CDS	v8.0.2	image	imaging_software	2413278	CDS	v8.0.3	CDE
image	organ_or_tissue	6161035	CDS	v8.0.2	image	organ_or_tissue	6161035	CDS	v8.0.3	CDE
image	performed_imaging_study_typeCode	14617551	CDS	v8.0.2	image	performed_imaging_study_typeCode	14617551	CDS	v8.0.3	CDE
image	longitudinal_temporal_event_type	14670294	CDS	v8.0.2	image	longitudinal_temporal_event_type	14670294	CDS	v8.0.3	CDE
image	longitudinal_temporal_event_offset	14612661	CDS	v8.0.2	image	longitudinal_temporal_event_offset	14612661	CDS	v8.0.3	CDE
MultiplexMicroscopy	acquisition_method_type	6626651	CDS	v8.0.2	M	a	6626651	CDS	v8.0.3	CDE
MultiplexMicroscopy	acquisition_method_type	6626651	CDS	v8.0.2	N	a	6626651	CDS	v8.0.3	CDE
NonDICOMpathologyImages	acquisition_method_type	6626651	CDS	v8.0.2	M	a	6626651	CDS	v8.0.3	CDE
NonDICOMpathologyImages	acquisition_method_type	6626651	CDS	v8.0.2	N	a	6626651	CDS	v8.0.3	CDE
MultiplexMicroscopy	tumor_tissue_type	3288124	CDS	v8.0.2	M	t	3288124	CDS	v8.0.3	CDE
MultiplexMicroscopy	tumor_tissue_type	3288124	CDS	v8.0.2	N	t	3288124	CDS	v8.0.3	CDE
NonDICOMpathologyImages	tumor_tissue_type	3288124	CDS	v8.0.2	M	t	3288124	CDS	v8.0.3	CDE
NonDICOMpathologyImages	tumor_tissue_type	3288124	CDS	v8.0.2	N	t	3288124	CDS	v8.0.3	CDE
MultiplexMicroscopy	tissue_fixative	65078	CDS	v8.0.2	M	t	65078	CDS	v8.0.3	CDE
MultiplexMicroscopy	tissue_fixative	65078	CDS	v8.0.2	N	t	65078	CDS	v8.0.3	CDE
NonDICOMpathologyImages	tissue_fixative	65078	CDS	v8.0.2	M	t	65078	CDS	v8.0.3	CDE
NonDICOMpathologyImages	tissue_fixative	65078	CDS	v8.0.2	N	t	65078	CDS	v8.0.3	CDE
MultiplexMicroscopy	embedding_medium	8028962	CDS	v8.0.2	M	e	8028962	CDS	v8.0.3	CDE
MultiplexMicroscopy	embedding_medium	8028962	CDS	v8.0.2	N	e	8028962	CDS	v8.0.3	CDE
NonDICOMpathologyImages	embedding_medium	8028962	CDS	v8.0.2	M	e	8028962	CDS	v8.0.3	CDE
NonDICOMpathologyImages	embedding_medium	8028962	CDS	v8.0.2	N	e	8028962	CDS	v8.0.3	CDE
MultiplexMicroscopy	staining_method	7789196	CDS	v8.0.2	M	s	7789196	CDS	v8.0.3	CDE
MultiplexMicroscopy	staining_method	7789196	CDS	v8.0.2	N	s	7789196	CDS	v8.0.3	CDE
MultiplexMicroscopy	staining_method	7789196	CDS	v8.0.2	M	i	7789196	CDS	v8.0.3	CDE
NonDICOMpathologyImages	staining_method	7789196	CDS	v8.0.2	M	s	7789196	CDS	v8.0.3	CDE
NonDICOMpathologyImages	staining_method	7789196	CDS	v8.0.2	N	s	7789196	CDS	v8.0.3	CDE
NonDICOMpathologyImages	staining_method	7789196	CDS	v8.0.2	M	i	7789196	CDS	v8.0.3	CDE
MultiplexMicroscopy	imaging_assay_type	7789196	CDS	v8.0.2	M	s	7789196	CDS	v8.0.3	CDE
MultiplexMicroscopy	imaging_assay_type	7789196	CDS	v8.0.2	N	s	7789196	CDS	v8.0.3	CDE
MultiplexMicroscopy	imaging_assay_type	7789196	CDS	v8.0.2	M	i	7789196	CDS	v8.0.3	CDE
MultiplexMicroscopy	objective	7788935	CDS	v8.0.2	M	o	7788935	CDS	v8.0.3	CDE
MultiplexMicroscopy	objective	7788935	CDS	v8.0.2	N	o	7788935	CDS	v8.0.3	CDE
NonDICOMpathologyImages	objective	7788935	CDS	v8.0.2	M	o	7788935	CDS	v8.0.3	CDE
NonDICOMpathologyImages	objective	7788935	CDS	v8.0.2	N	o	7788935	CDS	v8.0.3	CDE
MultiplexMicroscopy	nominal_magnification	7788940	CDS	v8.0.2	M	n	7788940	CDS	v8.0.3	CDE
MultiplexMicroscopy	nominal_magnification	7788940	CDS	v8.0.2	N	n	7788940	CDS	v8.0.3	CDE
NonDICOMpathologyImages	nominal_magnification	7788940	CDS	v8.0.2	M	n	7788940	CDS	v8.0.3	CDE
NonDICOMpathologyImages	nominal_magnification	7788940	CDS	v8.0.2	N	n	7788940	CDS	v8.0.3	CDE
MultiplexMicroscopy	immersion	8058286	CDS	v8.0.2	M	i	8058286	CDS	v8.0.3	CDE
MultiplexMicroscopy	immersion	8058286	CDS	v8.0.2	N	i	8058286	CDS	v8.0.3	CDE
NonDICOMpathologyImages	immersion	8058286	CDS	v8.0.2	M	i	8058286	CDS	v8.0.3	CDE
NonDICOMpathologyImages	immersion	8058286	CDS	v8.0.2	N	i	8058286	CDS	v8.0.3	CDE
MultiplexMicroscopy	lens_numerical_aperture	7788942	CDS	v8.0.2	M	l	7788942	CDS	v8.0.3	CDE
MultiplexMicroscopy	lens_numerical_aperture	7788942	CDS	v8.0.2	N	l	7788942	CDS	v8.0.3	CDE
NonDICOMpathologyImages	lens_numerical_aperture	7788942	CDS	v8.0.2	M	l	7788942	CDS	v8.0.3	CDE
NonDICOMpathologyImages	lens_numerical_aperture	7788942	CDS	v8.0.2	N	l	7788942	CDS	v8.0.3	CDE
MultiplexMicroscopy	working_distance	7788943	CDS	v8.0.2	MultiplexMicroscopy	working_distance	7788943	CDS	v8.0.3	CDE
MultiplexMicroscopy	pyramid	7788945	CDS	v8.0.2	M	p	7788945	CDS	v8.0.3	CDE
MultiplexMicroscopy	pyramid	7788945	CDS	v8.0.2	M	p	7788945	CDS	v8.0.3	CDE
MultiplexMicroscopy	physical_size_x	7788945	CDS	v8.0.2	M	p	7788945	CDS	v8.0.3	CDE
MultiplexMicroscopy	physical_size_x	7788945	CDS	v8.0.2	M	p	7788945	CDS	v8.0.3	CDE
MultiplexMicroscopy	physical_size_y	7786585	CDS	v8.0.2	MultiplexMicroscopy	physical_size_y	7786585	CDS	v8.0.3	CDE
MultiplexMicroscopy	physical_size_z	7786586	CDS	v8.0.2	MultiplexMicroscopy	physical_size_z	7786586	CDS	v8.0.3	CDE
MultiplexMicroscopy	size_c	7794859	CDS	v8.0.2	MultiplexMicroscopy	size_c	7794859	CDS	v8.0.3	CDE
MultiplexMicroscopy	size_t	7794860	CDS	v8.0.2	MultiplexMicroscopy	size_t	7794860	CDS	v8.0.3	CDE
MultiplexMicroscopy	size_x	7788567	CDS	v8.0.2	MultiplexMicroscopy	size_x	7788567	CDS	v8.0.3	CDE
MultiplexMicroscopy	size_y	7788568	CDS	v8.0.2	MultiplexMicroscopy	size_y	7788568	CDS	v8.0.3	CDE
MultiplexMicroscopy	size_z	7788569	CDS	v8.0.2	MultiplexMicroscopy	size_z	7788569	CDS	v8.0.3	CDE
MultiplexMicroscopy	channel_metadata_filename	7787678	CDS	v8.0.2	MultiplexMicroscopy	channel_metadata_filename	7787678	CDS	v8.0.3	CDE
MultiplexMicroscopy	channel_id	14765171	CDS	v8.0.2	MultiplexMicroscopy	channel_id	14765171	CDS	v8.0.3	CDE
MultiplexMicroscopy	channel_name	14765172	CDS	v8.0.2	MultiplexMicroscopy	channel_name	14765172	CDS	v8.0.3	CDE
MultiplexMicroscopy	cycle_number	14765176	CDS	v8.0.2	MultiplexMicroscopy	cycle_number	14765176	CDS	v8.0.3	CDE
MultiplexMicroscopy	sub_cycle_number	14765180	CDS	v8.0.2	M	s	14765180	CDS	v8.0.3	CDE
MultiplexMicroscopy	sub_cycle_number	14765180	CDS	v8.0.2	M	t	14765180	CDS	v8.0.3	CDE
MultiplexMicroscopy	target_name	14765180	CDS	v8.0.2	M	s	14765180	CDS	v8.0.3	CDE
MultiplexMicroscopy	target_name	14765180	CDS	v8.0.2	M	t	14765180	CDS	v8.0.3	CDE
MultiplexMicroscopy	antibody_name	14765184	CDS	v8.0.2	MultiplexMicroscopy	antibody_name	14765184	CDS	v8.0.3	CDE
MultiplexMicroscopy	rrid_identifier	14767247	CDS	v8.0.2	MultiplexMicroscopy	rrid_identifier	14767247	CDS	v8.0.3	CDE
MultiplexMicroscopy	fluorophore	14767255	CDS	v8.0.2	MultiplexMicroscopy	fluorophore	14767255	CDS	v8.0.3	CDE
MultiplexMicroscopy	clone	14767258	CDS	v8.0.2	MultiplexMicroscopy	clone	14767258	CDS	v8.0.3	CDE
MultiplexMicroscopy	lot	14769695	CDS	v8.0.2	MultiplexMicroscopy	lot	14769695	CDS	v8.0.3	CDE
MultiplexMicroscopy	catalog_number	14767261	CDS	v8.0.2	MultiplexMicroscopy	catalog_number	14767261	CDS	v8.0.3	CDE
MultiplexMicroscopy	excitation_wavelength	14765187	CDS	v8.0.2	MultiplexMicroscopy	excitation_wavelength	14765187	CDS	v8.0.3	CDE
MultiplexMicroscopy	emission_wavelength	14767264	CDS	v8.0.2	MultiplexMicroscopy	emission_wavelength	14767264	CDS	v8.0.3	CDE
MultiplexMicroscopy	excitation_bandwidth	14765190	CDS	v8.0.2	MultiplexMicroscopy	excitation_bandwidth	14765190	CDS	v8.0.3	CDE
MultiplexMicroscopy	emission_bandwidth	14765193	CDS	v8.0.2	MultiplexMicroscopy	emission_bandwidth	14765193	CDS	v8.0.3	CDE
MultiplexMicroscopy	metal_isotope_element_abbreviation	14765198	CDS	v8.0.2	MultiplexMicroscopy	metal_isotope_element_abbreviation	14765198	CDS	v8.0.3	CDE
MultiplexMicroscopy	metal_isotope_element_mass	14765201	CDS	v8.0.2	MultiplexMicroscopy	metal_isotope_element_mass	14765201	CDS	v8.0.3	CDE
MultiplexMicroscopy	oligo_barcode_upper_strand	14765205	CDS	v8.0.2	MultiplexMicroscopy	oligo_barcode_upper_strand	14765205	CDS	v8.0.3	CDE
MultiplexMicroscopy	oligo_barcode_lower_strand	14765208	CDS	v8.0.2	MultiplexMicroscopy	oligo_barcode_lower_strand	14765208	CDS	v8.0.3	CDE
MultiplexMicroscopy	dilution	14767270	CDS	v8.0.2	MultiplexMicroscopy	dilution	14767270	CDS	v8.0.3	CDE
MultiplexMicroscopy	concentration	14768386	CDS	v8.0.2	MultiplexMicroscopy	concentration	14768386	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_singleCollimationWidth	2903347	CDS	v8.0.2	NonDICOMCTimages	CTAquisitionProtocolElement_singleCollimationWidth	2903347	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_totalCollimationWidth	2903328	CDS	v8.0.2	NonDICOMCTimages	CTAquisitionProtocolElement_totalCollimationWidth	2903328	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_gantryDetectorTilt	2656117	CDS	v8.0.2	N	C	2656117	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_gantryDetectorTilt	2656117	CDS	v8.0.2	N	P	2656117	CDS	v8.0.3	CDE
NonDICOMPETimages	PETImagingAcquisitionProtocolElement_gantryDetectorTilt	2656117	CDS	v8.0.2	N	C	2656117	CDS	v8.0.3	CDE
NonDICOMPETimages	PETImagingAcquisitionProtocolElement_gantryDetectorTilt	2656117	CDS	v8.0.2	N	P	2656117	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_spiralPitchFactor	2414556	CDS	v8.0.2	NonDICOMCTimages	CTAquisitionProtocolElement_spiralPitchFactor	2414556	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_ctdiVol	3882991	CDS	v8.0.2	NonDICOMCTimages	CTAquisitionProtocolElement_ctdiVol	3882991	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_ctdiPhantomTypeCode	14612683	CDS	v8.0.2	NonDICOMCTimages	CTAquisitionProtocolElement_ctdiPhantomTypeCode	14612683	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_kVp	2904496	CDS	v8.0.2	NonDICOMCTimages	CTAquisitionProtocolElement_kVp	2904496	CDS	v8.0.3	CDE
NonDICOMCTimages	CTAquisitionProtocolElement_exposureModulationType_Code	14617524	CDS	v8.0.2	NonDICOMCTimages	CTAquisitionProtocolElement_exposureModulationType_Code	14617524	CDS	v8.0.3	CDE
NonDICOMCTimages	CTImageReconstructionProtocolElement_convolutionKernel	2656119	CDS	v8.0.2	NonDICOMCTimages	CTImageReconstructionProtocolElement_convolutionKernel	2656119	CDS	v8.0.3	CDE
NonDICOMCTimages	CTImageReconstructionProtocolElement_convolutionKernelGroupCode	14617525	CDS	v8.0.2	NonDICOMCTimages	CTImageReconstructionProtocolElement_convolutionKernelGroupCode	14617525	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_echoPulseSequenceCategoryCode	14645641	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_echoPulseSequenceCategoryCode	14645641	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_diffusionBValue	14607706	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_diffusionBValue	14607706	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_diffusionDirectionalityCode	14616426	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_diffusionDirectionalityCode	14616426	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_magneticFieldStrength	14607707	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_magneticFieldStrength	14607707	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_resonantNucleusCode	14616427	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_resonantNucleusCode	14616427	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_acquisitionContrastCode	14616428	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_acquisitionContrastCode	14616428	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_inversionRecoveryIndicator	14607722	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_inversionRecoveryIndicator	14607722	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_pulseSequenceName	14608594	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_pulseSequenceName	14608594	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_multipleSpinEchoIndicator	14608595	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_multipleSpinEchoIndicator	14608595	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_phaseContrastIndicator	14608601	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_phaseContrastIndicator	14608601	CDS	v8.0.3	CDE
NonDICOMMRimages	MRImageAcquisitionProtocolElement_timeOfFlightContrastIndicator	14608649	CDS	v8.0.2	NonDICOMMRimages	MRImageAcquisitionProtocolElement_timeOfFlightContrastIndicator	14608649	CDS	v8.0.3	CDE
